cost_pool,cost_pool_definition,cost_sub_pool,cost_sub_pool_definition
Cloud Services,"A category for all public, private, and hybrid cloud services, including IaaS and PaaS, supporting enterprise technology infrastructure and applications. Excludes SaaS, which is categorized in the ""Software & SaaS"" Cost Pool.",Capital,Capitalized cloud services expenses.
Cloud Services,"A category for all public, private, and hybrid cloud services, including IaaS and PaaS, supporting enterprise technology infrastructure and applications. Excludes SaaS, which is categorized in the ""Software & SaaS"" Cost Pool.",Cloud Service Provider,"External public cloud expenses, including IaaS and PaaS. Excludes SaaS, which is categorized under the ""Software & SaaS"" Cost Pool."
Cloud Services,"A category for all public, private, and hybrid cloud services, including IaaS and PaaS, supporting enterprise technology infrastructure and applications. Excludes SaaS, which is categorized in the ""Software & SaaS"" Cost Pool.",Other Operating,Other cloud services expenses that cannot qualify for another Cost Sub Pool or insufficient details are available to determine.
Cross Charges,"Costs incurred from other internal groups (eg HR, finance, facilities, and other Technology groups).",by Internal Department,"Costs incurred from other internal groups (eg HR, finance, facilities, and other Technology groups)."
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Capital,Capitalized data center facilities expenses.
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Depreciation & Amortization,Depreciation and amortization of capitalized data center facilities investments.
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Lease,"Leasing costs for data center facilities, including rental and associated operational expenses."
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Maintenance & Support,"Costs associated with maintaining and supporting data center facilities, including repairs and upgrades."
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Managed Services,Costs associated with an external service provider who takes responsibility for managing and maintaining an organization's data center facilities.
Data Center Facilities,"Includes the floor space, power, cooling, and other utilities costs, environmental controls (e.g., fire suppression), power distribution, and other related costs for managing data center facilities. Excludes personnel and hardware components like servers and storage.",Other Operating,Other data center facilities expenses that cannot qualify for another Cost Sub Pool or insufficient details are available to determine.
